ID,Title,Tier 1 Markers,Tier 2 Markers,Tier 3 Markers,Tier 1 Metrics,Tier 2 Metrics,Tier 3 Metrics
REC0027.3,Strength Training Sessions,"skeletal muscle to fat free Mass, Testosterone, HGbA1c, HOMA-IR, HDL, hsCRP, Fasting Insulin, Free Testosterone","Fasting Glucose, Homocysteine, Triglycerides, Vitamin D",,"Grip Strength, % Bodyfat","Deep Sleep, REM Sleep, Total Sleep, VO2 Max, Blood Pressure - Diastolic, Blood Pressure - Systolic, Resting Heart Rate",
REC0028.1,Strength Training Duration,"skeletal muscle to fat free Mass, Testosterone, HGbA1c, HOMA-IR, HDL, hsCRP, Fasting Insulin, Free Testosterone","Fasting Glucose, Homocysteine, Triglycerides, Vitamin D",,"Grip Strength, % Bodyfat","Deep Sleep, REM Sleep, Total Sleep, VO2 Max, Blood Pressure - Diastolic, Blood Pressure - Systolic, Resting Heart Rate",
REC0028.2,Strength Training Duration,"skeletal muscle to fat free Mass, Testosterone, HGbA1c, HOMA-IR, HDL, hsCRP, Fasting Insulin, Free Testosterone","Fasting Glucose, Homocysteine, Triglycerides, Vitamin D",,"Grip Strength, % Bodyfat","Deep Sleep, REM Sleep, Total Sleep, VO2 Max, Blood Pressure - Diastolic, Blood Pressure - Systolic, Resting Heart Rate",
REC0028.3,Strength Training Duration,"skeletal muscle to fat free Mass, Testosterone, HGbA1c, HOMA-IR, HDL, hsCRP, Fasting Insulin, Free Testosterone","Fasting Glucose, Homocysteine, Triglycerides, Vitamin D",,"Grip Strength, % Bodyfat","Deep Sleep, REM Sleep, Total Sleep, VO2 Max, Blood Pressure - Diastolic, Blood Pressure - Systolic, Resting Heart Rate",
REC0029.1,HIIT Sessions,"ApoB, HOMA-IR, Fasting Insulin, hsCRP","ApoB, Fasting Glucose, Fasting Insulin, Free Testosterone, HbA1c, HDL, HOMA-IR, Homocysteine, hsCRP, Testosterone, Triglycerides",,"VO2 Max, Blood Pressure - Systolic, Blood Pressure - Diastolic, Resting Heart Rate, HRV, % Bodyfat, Hip-to-Waist Ratio, Total Sleep, Deep Sleep, REM Sleep","% Bodyfat, BMI, Deep Sleep, Grip Strength, Hip-to-Waist Ratio, REM Sleep, Resting Heart Rate, Skeletal Muscle Mass to Fat-Free Mass, Total Sleep",
REC0029.2,HIIT Sessions,"HOMA-IR, Fasting Insulin, hsCRP","ApoB, Fasting Glucose, Fasting Insulin, Free Testosterone, HbA1c, HDL, HOMA-IR, Homocysteine, hsCRP, Testosterone, Triglycerides",,"VO2 Max, Blood Pressure - Systolic, Blood Pressure - Diastolic, Resting Heart Rate, HRV, % Bodyfat, Hip-to-Waist Ratio, Total Sleep, Deep Sleep, REM Sleep","% Bodyfat, BMI, Deep Sleep, Grip Strength, Hip-to-Waist Ratio, REM Sleep, Resting Heart Rate, Skeletal Muscle Mass to Fat-Free Mass, Total Sleep",
REC0029.3,HIIT Sessions,"HOMA-IR, Fasting Insulin, hsCRP","ApoB, LDL, HbA1c, HDL",,"VO2 Max, Blood Pressure - Systolic, Blood Pressure - Diastolic, Resting Heart Rate, HRV, % Bodyfat, Hip-to-Waist Ratio, Total Sleep, Deep Sleep, REM Sleep","Deep Sleep, REM Sleep, Total Sleep",
REC0030.1,HIIT Duration,,"ApoB, LDL, HbA1c, HDL",,"VO2 Max, Blood Pressure - Systolic, Blood Pressure - Diastolic, Resting Heart Rate, HRV, % Bodyfat, Hip-to-Waist Ratio, Total Sleep, Deep Sleep, REM Sleep","Deep Sleep, REM Sleep, Total Sleep",
REC0030.2,HIIT Duration,"HOMA-IR, Fasting Insulin, hsCRP","ApoB, LDL, HbA1c, HDL",,"VO2 Max, Blood Pressure - Systolic, Blood Pressure - Diastolic, Resting Heart Rate, HRV, % Bodyfat, Hip-to-Waist Ratio, Total Sleep, Deep Sleep, REM Sleep","Deep Sleep, REM Sleep, Total Sleep",
REC0030.3,HIIT Duration,"HOMA-IR, Fasting Insulin, hsCRP","ApoB, LDL, HbA1c, HDL",,"VO2 Max, Blood Pressure - Systolic, Blood Pressure - Diastolic, Resting Heart Rate, HRV, % Bodyfat, Hip-to-Waist Ratio, Total Sleep, Deep Sleep, REM Sleep","Deep Sleep, REM Sleep, Total Sleep",
REC0031.1,Daily Active Time,"hsCRP, insuin, HOMA-IR","ApoB, Fasting Glucose, Fasting Insulin, HbA1c, HDL, hsCRP, Triglycerides",,"Blood Pressure - Diastolic, Blood Pressure - Systolic, Resting Heart Rate, VO2 Max, % Bodyfat","Deep Sleep, Hip-to-Waist Ratio, HRV, REM Sleep, Total Sleep, BMI",
REC0031.2,Daily Active Time,"hsCRP, insuiln, HOMA-IR","ApoB, Fasting Glucose, Fasting Insulin, HbA1c, HDL, hsCRP, Triglycerides",,"Blood Pressure - Diastolic, Blood Pressure - Systolic, Resting Heart Rate, VO2 Max, % Bodyfat","Deep Sleep, Hip-to-Waist Ratio, HRV, REM Sleep, Total Sleep, BMI",
REC0031.3,Daily Active Time,"hsCRP, Fasting Insulin, HOMA-IR","ApoB, Fasting Glucose, Fasting Insulin, HbA1c, HDL, hsCRP, Triglycerides",,"Blood Pressure - Diastolic, Blood Pressure - Systolic, Resting Heart Rate, VO2 Max, % Bodyfat","Deep Sleep, Hip-to-Waist Ratio, HRV, REM Sleep, Total Sleep, BMI",
REC0032.1,Sedentary Time,"hsCRP, Fasting Insulin, HOMA-IR","ApoB, Fasting Glucose, Fasting Insulin, HbA1c, HDL, hsCRP, Triglycerides",,"Blood Pressure - Diastolic, Blood Pressure - Systolic, Resting Heart Rate, VO2 Max, % Bodyfat","Deep Sleep, Hip-to-Waist Ratio, HRV, REM Sleep, Total Sleep, BMI",
REC0032.2,Sedentary Time,"hsCRP, insuin, HOMA-IR","ApoB, Fasting Glucose, Fasting Insulin, HbA1c, HDL, hsCRP, Triglycerides",,"Blood Pressure - Diastolic, Blood Pressure - Systolic, Resting Heart Rate, VO2 Max, % Bodyfat","Deep Sleep, Hip-to-Waist Ratio, HRV, REM Sleep, Total Sleep, BMI",
REC0032.3,Sedentary Time,"hsCRP, insuin, HOMA-IR","ApoB, Fasting Glucose, Fasting Insulin, HbA1c, HDL, hsCRP, Triglycerides",,"Blood Pressure - Diastolic, Blood Pressure - Systolic, Resting Heart Rate, VO2 Max, % Bodyfat","Deep Sleep, Hip-to-Waist Ratio, HRV, REM Sleep, Total Sleep, BMI",
REC0033.1,Weekly Mobility Sessions,Cortisol,"Fasting Glucose, Fasting Insulin",,"HRV, Deep Sleep, Total Sleep","REM Sleep, Resting Heart Rate, Blood Pressure - Diastolic, Blood Pressure - Systolic",
REC0033.2,Weekly Mobility Sessions,Cortisol,"Fasting Glucose, Fasting Insulin",,"HRV, Deep Sleep, Total Sleep","REM Sleep, Resting Heart Rate, Blood Pressure - Diastolic, Blood Pressure - Systolic",
REC0033.3,Weekly Mobility Sessions,Cortisol,"Fasting Glucose, Fasting Insulin",,"HRV, Deep Sleep, Total Sleep","REM Sleep, Resting Heart Rate, Blood Pressure - Diastolic, Blood Pressure - Systolic",
REC0034.1,Weekly Mobility Minutes,Cortisol,"Cortisol, Fasting Glucose, Fasting Insulin, Homocysteine",,"HRV, Deep Sleep, Total Sleep","Deep Sleep, REM Sleep, Resting Heart Rate, Total Sleep",
REC0034.2,Weekly Mobility Minutes,Cortisol,"Fasting Glucose, Fasting Insulin",,"HRV, Deep Sleep, Total Sleep","REM Sleep, Resting Heart Rate, Blood Pressure - Diastolic, Blood Pressure - Systolic",
REC0034.3,Weekly Mobility Minutes,,"Fasting Glucose, Fasting Insulin",,"Blood Pressure - Diastolic, Blood Pressure - Systolic","REM Sleep, Resting Heart Rate, Blood Pressure - Diastolic, Blood Pressure - Systolic",
REC0035.1,Weekly Post-Meal Activity Minutes,"HgbA1c, HOMA-IR, ApoB, hsCRP","Fasting Glucose, Fasting Insulin, Triglycerides",,"Blood Pressure - Diastolic, Blood Pressure - Systolic","% Bodyfat, BMI, Deep Sleep, Hip-to-Waist Ratio, REM Sleep, Total Sleep",
REC0035.2,Weekly Post-Meal Activity Minutes,"HgbA1c, HOMA-IR, ApoB, hsCRP","Fasting Glucose, Fasting Insulin, Triglycerides",,"Blood Pressure - Diastolic, Blood Pressure - Systolic","% Bodyfat, BMI, Deep Sleep, Hip-to-Waist Ratio, REM Sleep, Total Sleep",
REC0035.3,Weekly Post-Meal Activity Minutes,"HgbA1c, HOMA-IR, ApoB, hsCRP","Fasting Glucose, Fasting Insulin, Triglycerides",,"Blood Pressure - Diastolic, Blood Pressure - Systolic","% Bodyfat, BMI, Deep Sleep, Hip-to-Waist Ratio, REM Sleep, Total Sleep",
REC0036.1,Weekly Post-Meal Activity Sessions,"HgbA1c, HOMA-IR, ApoB, hsCRP","Fasting Glucose, Fasting Insulin, Triglycerides",,"Blood Pressure - Diastolic, Blood Pressure - Systolic","% Bodyfat, BMI, Deep Sleep, Hip-to-Waist Ratio, REM Sleep, Total Sleep",
REC0036.2,Weekly Post-Meal Activity Sessions,"HgbA1c, HOMA-IR, ApoB, hsCRP","Fasting Glucose, Fasting Insulin, Triglycerides",,"Blood Pressure - Diastolic, Blood Pressure - Systolic","% Bodyfat, BMI, Deep Sleep, Hip-to-Waist Ratio, REM Sleep, Total Sleep",
REC0036.3,Weekly Post-Meal Activity Sessions,"HgbA1c, HOMA-IR, ApoB, hsCRP","Fasting Glucose, Fasting Insulin, Triglycerides",,"Blood Pressure - Diastolic, Blood Pressure - Systolic","% Bodyfat, BMI, Deep Sleep, Hip-to-Waist Ratio, REM Sleep, Total Sleep",
REC0037.1,Weekly Exercise Snacks,"HgbA1c, HOMA-IR, Fasting Insulin","Fasting Glucose, Fasting Insulin, hsCRP, Triglycerides, ApoB",,"Blood Pressure - Diastolic, Blood Pressure - Systolic, VO2 Max","% Bodyfat, BMI, Deep Sleep, Hip-to-Waist Ratio, REM Sleep, Total Sleep",
REC0037.2,Weekly Exercise Snacks,"HgbA1c, HOMA-IR, Fasting Insulin","Fasting Glucose, Fasting Insulin, hsCRP, Triglycerides, ApoB",,"Blood Pressure - Diastolic, Blood Pressure - Systolic, VO2 Max","% Bodyfat, BMI, Deep Sleep, Hip-to-Waist Ratio, REM Sleep, Total Sleep",
REC0037.3,Weekly Exercise Snacks,"HgbA1c, HOMA-IR, Fasting Insulin","Fasting Glucose, Fasting Insulin, hsCRP, Triglycerides, ApoB",,"Blood Pressure - Diastolic, Blood Pressure - Systolic, VO2 Max","% Bodyfat, BMI, Deep Sleep, Hip-to-Waist Ratio, REM Sleep, Total Sleep",
REC0038.1,Sleep Duration,"Cortisol, glucose, HOMA-IR, SHBG, hsCRP, NLR ratio","ApoB, HbA1c, HDL, RDW, Testosterone, Triglycerides, Vitamin B12, LDL",,"Total Sleep, Deep Sleep, REM Sleep, HRV, Blood Pressure - Diastolic, Blood Pressure - Systolic","% Bodyfat, BMI, Hip-to-Waist Ratio, Skeletal Muscle Mass to Fat-Free Mass, VO2 Max",
REC0038.2,Sleep Duration,"Cortisol, glucose, HOMA-IR, SHBG, hsCRP, NLR ratio","ApoB, HbA1c, HDL, RDW, Testosterone, Triglycerides, Vitamin B12, LDL",,"Total Sleep, Deep Sleep, REM Sleep, HRV, Blood Pressure - Diastolic, Blood Pressure - Systolic","% Bodyfat, BMI, Hip-to-Waist Ratio, Skeletal Muscle Mass to Fat-Free Mass, VO2 Max",
REC0038.3,Sleep Duration,"Cortisol, glucose, HOMA-IR, SHBG, hsCRP, NLR ratio","ApoB, HbA1c, HDL, RDW, Testosterone, Triglycerides, Vitamin B12, LDL, lymphocyte",,"Total Sleep, Deep Sleep, REM Sleep, HRV, Blood Pressure - Diastolic, Blood Pressure - Systolic","% Bodyfat, BMI, Hip-to-Waist Ratio, Skeletal Muscle Mass to Fat-Free Mass, VO2 Max",
REC0039.1,Sleep Timing Consistency,"Cortisol, glucose, HOMA-IR, SHBG, hsCRP, NLR ratio","ApoB, HbA1c, HDL, RDW, Testosterone, Triglycerides, Vitamin B12, LDL",,"Total Sleep, Deep Sleep, REM Sleep, HRV, Blood Pressure - Diastolic, Blood Pressure - Systolic","% Bodyfat, BMI, Hip-to-Waist Ratio, Skeletal Muscle Mass to Fat-Free Mass, VO2 Max",
REC0039.2,Sleep Timing Consistency,"Cortisol, glucose, HOMA-IR, SHBG, hsCRP, NLR ratio","ApoB, HbA1c, HDL, RDW, Testosterone, Triglycerides, Vitamin B12, LDL",,"Total Sleep, Deep Sleep, REM Sleep, HRV, Blood Pressure - Diastolic, Blood Pressure - Systolic","% Bodyfat, BMI, Hip-to-Waist Ratio, Skeletal Muscle Mass to Fat-Free Mass, VO2 Max",
REC0039.3,Sleep Timing Consistency,"Cortisol, glucose, HOMA-IR, SHBG, hsCRP, NLR ratio","ApoB, HbA1c, HDL, RDW, Testosterone, Triglycerides, Vitamin B12, LDL",,"Total Sleep, Deep Sleep, REM Sleep, HRV, Blood Pressure - Diastolic, Blood Pressure - Systolic","% Bodyfat, BMI, Hip-to-Waist Ratio, Skeletal Muscle Mass to Fat-Free Mass, VO2 Max",
REC0040.1,Wake Time Consistency,"Cortisol, glucose, HOMA-IR, SHBG, hsCRP, NLR ratio","ApoB, HbA1c, HDL, RDW, Testosterone, Triglycerides, Vitamin B12, LDL",,"Total Sleep, Deep Sleep, REM Sleep, HRV, Blood Pressure - Diastolic, Blood Pressure - Systolic","% Bodyfat, BMI, Hip-to-Waist Ratio, Skeletal Muscle Mass to Fat-Free Mass, VO2 Max",
REC0040.2,Wake Time Consistency,"Cortisol, glucose, HOMA-IR, SHBG, hsCRP, NLR ratio","ApoB, HbA1c, HDL, RDW, Testosterone, Triglycerides, Vitamin B12, LDL",,"Total Sleep, Deep Sleep, REM Sleep, HRV, Blood Pressure - Diastolic, Blood Pressure - Systolic","% Bodyfat, BMI, Hip-to-Waist Ratio, Skeletal Muscle Mass to Fat-Free Mass, VO2 Max",
REC0040.3,Wake Time Consistency,"Cortisol, glucose, HOMA-IR, SHBG, hsCRP, NLR ratio","ApoB, HbA1c, HDL, RDW, Testosterone, Triglycerides, Vitamin B12, LDL",,"Total Sleep, Deep Sleep, REM Sleep, HRV, Blood Pressure - Diastolic, Blood Pressure - Systolic","% Bodyfat, BMI, Hip-to-Waist Ratio, Skeletal Muscle Mass to Fat-Free Mass, VO2 Max",
REC0041.1,Daily Early Morning Natural Light Exposure,Vitamin D,"Cortisol, Homocysteine, HOMA-IR, hsCRP",,"Blood Pressure - Diastolic, Blood Pressure - Systolic, HRV","Deep Sleep, REM Sleep, Total Sleep",
REC0041.2,Daily Early Morning Natural Light Exposure,Vitamin D,"Cortisol, Homocysteine, HOMA-IR, hsCRP",,"Blood Pressure - Diastolic, Blood Pressure - Systolic, HRV","Deep Sleep, REM Sleep, Total Sleep",
REC0041.3,Daily Early Morning Natural Light Exposure,Vitamin D,"Cortisol, Homocysteine, HOMA-IR, hsCRP",,"Blood Pressure - Diastolic, Blood Pressure - Systolic, HRV","Deep Sleep, REM Sleep, Total Sleep",
REC0042.1,Large Meals ≤3 Hours Before Bed,"Fasting Glucose, Fasting Insulin, HOMA-IR, hsCRP, HbA1c","LDL, Triglycerides, Cortisol, Hip-to-Waist ratio",,"% Bodyfat, BMI","Blood Pressure - Diastolic, Blood Pressure - Systolic, REM Sleep, Deep Sleep, Total Sleep, % Bodyfat",
REC0042.2,Large Meals ≤3 Hours Before Bed,"Fasting Glucose, Fasting Insulin, HOMA-IR, hsCRP, HbA1c","LDL, Triglycerides, Cortisol, Hip-to-Waist ratio",,"% Bodyfat, BMI","Blood Pressure - Diastolic, Blood Pressure - Systolic, REM Sleep, Deep Sleep, Total Sleep, % Bodyfat",
REC0042.3,Large Meals ≤3 Hours Before Bed,"Fasting Glucose, Fasting Insulin, HOMA-IR, hsCRP, HbA1c","LDL, Triglycerides, Cortisol, Hip-to-Waist ratio",,"% Bodyfat, BMI","Blood Pressure - Diastolic, Blood Pressure - Systolic, REM Sleep, Deep Sleep, Total Sleep, % Bodyfat",
REC0043.1,Food Intake ≤2 Hours Before Bed,"Fasting Glucose, Fasting Insulin, HOMA-IR, hsCRP, HbA1c","LDL, Triglycerides, Cortisol, Hip-to-Waist ratio",,"% Bodyfat, BMI","Blood Pressure - Diastolic, Blood Pressure - Systolic, REM Sleep, Deep Sleep, Total Sleep, % Bodyfat",
REC0043.2,Food Intake ≤2 Hours Before Bed,"Fasting Glucose, Fasting Insulin, HOMA-IR, hsCRP, HbA1c","LDL, Triglycerides, Cortisol, Hip-to-Waist ratio",,"% Bodyfat, BMI","Blood Pressure - Diastolic, Blood Pressure - Systolic, REM Sleep, Deep Sleep, Total Sleep, % Bodyfat",
REC0043.3,Food Intake ≤2 Hours Before Bed,"Fasting Glucose, Fasting Insulin, HOMA-IR, hsCRP, HbA1c","LDL, Triglycerides, Cortisol, Hip-to-Waist ratio",,"% Bodyfat, BMI","Blood Pressure - Diastolic, Blood Pressure - Systolic, REM Sleep, Deep Sleep, Total Sleep, % Bodyfat",
REC0044.1,Alcohol Intake ≤3-4 Hours Before Bed,"Fasting Glucose, Fasting Insulin","Cortisol, HbA1c, HOMA-IR, Triglycerides",,"Blood Pressure - Diastolic, Blood Pressure - Systolic","Deep Sleep, HRV, REM Sleep, Resting Heart Rate, Total Sleep",
REC0044.2,Alcohol Intake ≤3-4 Hours Before Bed,"Fasting Glucose, Fasting Insulin","Cortisol, HbA1c, HOMA-IR, Triglycerides",,"Blood Pressure - Diastolic, Blood Pressure - Systolic","Deep Sleep, HRV, REM Sleep, Resting Heart Rate, Total Sleep",
REC0044.3,Alcohol Intake ≤3-4 Hours Before Bed,"Fasting Glucose, Fasting Insulin","Cortisol, HbA1c, HOMA-IR, Triglycerides",,"Blood Pressure - Diastolic, Blood Pressure - Systolic","Deep Sleep, HRV, REM Sleep, Resting Heart Rate, Total Sleep",
REC0045.1,Digital Device Time ≤2 Hours Before Bed,"Cortisol, Fasting Insulin, HOMA-IR, Fasting Glucose, HGBA1C","ApoB, Free Testosterone, HDL, hsCRP, Testosterone, Triglycerides, Vitamin D",,"Total Sleep, Deep Sleep, REM Sleep, HRV, Resting Heart Rate","% Bodyfat, Blood Pressure - Diastolic, Blood Pressure - Systolic, BMI",
REC0045.2,Digital Device Time ≤2 Hours Before Bed,"Cortisol, Fasting Insulin, HOMA-IR, Fasting Glucose, HGBA1C","ApoB, Free Testosterone, HDL, hsCRP, Testosterone, Triglycerides, Vitamin D",,"Total Sleep, Deep Sleep, REM Sleep, HRV, Resting Heart Rate","% Bodyfat, Blood Pressure - Diastolic, Blood Pressure - Systolic, BMI",
REC0045.3,Digital Device Time ≤2 Hours Before Bed,"Cortisol, Fasting Insulin, HOMA-IR, Fasting Glucose, HGBA1C","ApoB, Free Testosterone, HDL, hsCRP, Testosterone, Triglycerides, Vitamin D",,"Total Sleep, Deep Sleep, REM Sleep, HRV, Resting Heart Rate","% Bodyfat, Blood Pressure - Diastolic, Blood Pressure - Systolic, BMI",
REC0046.1,Breathwork or Mindfulness Sessions,,"Cortisol, Fasting Glucose, Fasting Insulin, HbA1c, HOMA-IR, Homocysteine, hsCRP",,HRV,"Blood Pressure - Diastolic, Blood Pressure - Systolic, Deep Sleep, REM Sleep, Total Sleep",
REC0046.2,Breathwork or Mindfulness Sessions,,"Cortisol, Fasting Glucose, Fasting Insulin, HbA1c, HOMA-IR, Homocysteine, hsCRP",,HRV,"Blood Pressure - Diastolic, Blood Pressure - Systolic, Deep Sleep, REM Sleep, Total Sleep",
REC0046.3,Breathwork or Mindfulness Sessions,,"Cortisol, Fasting Glucose, Fasting Insulin, HbA1c, HOMA-IR, Homocysteine, hsCRP",,HRV,"Blood Pressure - Diastolic, Blood Pressure - Systolic, Deep Sleep, REM Sleep, Total Sleep",
REC0047.1,Social Interaction Events,,"Cortisol, Homocysteine, hsCRP, Vitamin D",,,"Blood Pressure - Diastolic, Blood Pressure - Systolic, Deep Sleep, HRV, REM Sleep, Total Sleep",
REC0047.2,Social Interaction Events,,"Cortisol, Homocysteine, hsCRP, Vitamin D",,,"Blood Pressure - Diastolic, Blood Pressure - Systolic, Deep Sleep, HRV, REM Sleep, Total Sleep",
REC0047.3,Social Interaction Events,,"Cortisol, Homocysteine, hsCRP, Vitamin D",,,"Blood Pressure - Diastolic, Blood Pressure - Systolic, Deep Sleep, HRV, REM Sleep, Total Sleep",
REC0048.1,Gratitude Practice,,"Cortisol, hsCRP",,"Blood Pressure - Diastolic, Blood Pressure - Systolic, HRV","Deep Sleep, REM Sleep, Total Sleep",
REC0048.2,Gratitude Practice,,"Cortisol, hsCRP",,"Blood Pressure - Diastolic, Blood Pressure - Systolic, HRV","Deep Sleep, REM Sleep, Total Sleep",
REC0048.3,Gratitude Practice,,"Cortisol, hsCRP",,"Blood Pressure - Diastolic, Blood Pressure - Systolic, HRV","Deep Sleep, REM Sleep, Total Sleep",
REC0049.1,Journaling or Reflection Sessions,HbA1c,"Cortisol, Fasting Glucose, Fasting Insulin, HOMA-IR, hsCRP",,"Blood Pressure - Diastolic, Blood Pressure - Systolic","Deep Sleep, REM Sleep, Resting Heart Rate, Total Sleep",
REC0049.2,Journaling or Reflection Sessions,HbA1c,"Cortisol, Fasting Glucose, Fasting Insulin, HOMA-IR, hsCRP",,"Blood Pressure - Diastolic, Blood Pressure - Systolic","Deep Sleep, REM Sleep, Resting Heart Rate, Total Sleep",
REC0049.3,Journaling or Reflection Sessions,HbA1c,"Cortisol, Fasting Glucose, Fasting Insulin, HOMA-IR, hsCRP",,"Blood Pressure - Diastolic, Blood Pressure - Systolic","Deep Sleep, REM Sleep, Resting Heart Rate, Total Sleep",
REC0050.1,Outdoor Time (minutes),ApoB,"Cortisol, Fasting Insulin, HOMA-IR, Homocysteine, hsCRP, Vitamin D",,"Blood Pressure - Diastolic, Blood Pressure - Systolic, HRV, VO2 Max","Deep Sleep, REM Sleep, Total Sleep",
REC0050.2,Outdoor Time (minutes),ApoB,"Cortisol, Fasting Insulin, HOMA-IR, Homocysteine, hsCRP, Vitamin D",,"Blood Pressure - Diastolic, Blood Pressure - Systolic, HRV, VO2 Max","Deep Sleep, REM Sleep, Total Sleep",
REC0050.3,Outdoor Time (minutes),ApoB,"Cortisol, Fasting Insulin, HOMA-IR, Homocysteine, hsCRP, Vitamin D",,"Blood Pressure - Diastolic, Blood Pressure - Systolic, HRV, VO2 Max","Deep Sleep, REM Sleep, Total Sleep",
REC0051.1,Morning Outdoor Time (minutes),,"Cortisol, Homocysteine, Vitamin D",,"Blood Pressure - Diastolic, Blood Pressure - Systolic","Deep Sleep, REM Sleep, Total Sleep",
REC0051.2,Morning Outdoor Time (minutes),,"Cortisol, Homocysteine, Vitamin D",,"Blood Pressure - Diastolic, Blood Pressure - Systolic","Deep Sleep, REM Sleep, Total Sleep",
REC0051.3,Morning Outdoor Time (minutes),,"Cortisol, Homocysteine, Vitamin D",,"Blood Pressure - Diastolic, Blood Pressure - Systolic","Deep Sleep, REM Sleep, Total Sleep",
REC0052.1,Digital Device Time (minutes),ApoB,"Cortisol, Fasting Insulin, HOMA-IR, Homocysteine, hsCRP, Vitamin D",,"Blood Pressure - Diastolic, Blood Pressure - Systolic, HRV, VO2 Max","Deep Sleep, REM Sleep, Total Sleep",
REC0052.2,Digital Device Time (minutes),ApoB,"Cortisol, Fasting Insulin, HOMA-IR, Homocysteine, hsCRP, Vitamin D",,"Blood Pressure - Diastolic, Blood Pressure - Systolic, HRV, VO2 Max","Deep Sleep, REM Sleep, Total Sleep",
REC0052.3,Digital Device Time (minutes),ApoB,"Cortisol, Fasting Insulin, HOMA-IR, Homocysteine, hsCRP, Vitamin D",,"Blood Pressure - Diastolic, Blood Pressure - Systolic, HRV, VO2 Max","Deep Sleep, REM Sleep, Total Sleep",
REC0053.1,Brain Training Activity (minutes),,Cortisol,,,"Deep Sleep, REM Sleep, Total Sleep",
REC0053.2,Brain Training Activity (minutes),,Cortisol,,,"Deep Sleep, REM Sleep, Total Sleep",
REC0053.3,Brain Training Activity (minutes),,Cortisol,,,"Deep Sleep, REM Sleep, Total Sleep",
REC0054.1,Daily Social Interaction Time (minutes),,"Cortisol, Homocysteine, hsCRP, Vitamin D",,,"Blood Pressure - Diastolic, Blood Pressure - Systolic, Deep Sleep, HRV, REM Sleep, Total Sleep",
REC0054.2,Daily Social Interaction Time (minutes),,"Cortisol, Homocysteine, hsCRP, Vitamin D",,,"Blood Pressure - Diastolic, Blood Pressure - Systolic, Deep Sleep, HRV, REM Sleep, Total Sleep",
REC0054.3,Daily Social Interaction Time (minutes),,"Cortisol, Homocysteine, hsCRP, Vitamin D",,,"Blood Pressure - Diastolic, Blood Pressure - Systolic, Deep Sleep, HRV, REM Sleep, Total Sleep",
REC0055.1,Daily Smoking (cigarettes),ApoB,"HDL, Homocysteine, hsCRP, Triglycerides, White Blood Cell Count",,"Blood Pressure - Diastolic, Blood Pressure - Systolic, VO2 Max",Resting Heart Rate,
REC0055.2,Daily Smoking (cigarettes),ApoB,"HDL, Homocysteine, hsCRP, Triglycerides, White Blood Cell Count",,"Blood Pressure - Diastolic, Blood Pressure - Systolic, VO2 Max",Resting Heart Rate,
REC0055.3,Daily Smoking (cigarettes),ApoB,"HDL, Homocysteine, hsCRP, Triglycerides, White Blood Cell Count",,"Blood Pressure - Diastolic, Blood Pressure - Systolic, VO2 Max",Resting Heart Rate,
REC0056.1,Daily Brushing (times/day),"ApoB, HbA1c","Fasting Glucose, Fasting Insulin, HOMA-IR, hsCRP",,"Blood Pressure - Diastolic, Blood Pressure - Systolic",,
REC0056.2,Daily Brushing (times/day),"ApoB, HbA1c","Fasting Glucose, Fasting Insulin, HOMA-IR, hsCRP",,"Blood Pressure - Diastolic, Blood Pressure - Systolic",,
REC0056.3,Daily Brushing (times/day),"ApoB, HbA1c","Fasting Glucose, Fasting Insulin, HOMA-IR, hsCRP",,"Blood Pressure - Diastolic, Blood Pressure - Systolic",,
REC0057.1,Daily Flossing,"ApoB, HbA1c","Fasting Glucose, Fasting Insulin, HOMA-IR, hsCRP",,"Blood Pressure - Diastolic, Blood Pressure - Systolic",,
REC0057.2,Daily Flossing,"ApoB, HbA1c","Fasting Glucose, Fasting Insulin, HOMA-IR, hsCRP",,"Blood Pressure - Diastolic, Blood Pressure - Systolic",,
REC0057.3,Daily Flossing,"ApoB, HbA1c","Fasting Glucose, Fasting Insulin, HOMA-IR, hsCRP",,"Blood Pressure - Diastolic, Blood Pressure - Systolic",,
REC0058.1,Daily Skincare Routine,,hsCRP,,,,
REC0058.2,Daily Skincare Routine,,hsCRP,,,,
REC0058.3,Daily Skincare Routine,,hsCRP,,,,
REC0059.1,Daily Sunscreen Use,,"hsCRP, Vitamin D",,,,
REC0059.2,Daily Sunscreen Use,,"hsCRP, Vitamin D",,,,
REC0059.3,Daily Sunscreen Use,,"hsCRP, Vitamin D",,,,
REC0060.1,Dental Exam,"ApoB, HbA1c","Fasting Glucose, Fasting Insulin, HOMA-IR, hsCRP, White Blood Cell Count",,"Blood Pressure - Diastolic, Blood Pressure - Systolic",,
REC0061.1,Physical Exam,ApoB,"ALP, ALT, AST, BUN, Creatinine, Cystatin C, DHEA-S, eGFR, Estradiol, GGT, hsCRP, Progesterone, Serum Ferritin, SHBG, Testosterone, Total Iron Binding Capacity (TIBC), Transferrin Saturation, TSH, White Blood Cell Count",,"Blood Pressure - Diastolic, Blood Pressure - Systolic","BMI, Hip-to-Waist Ratio",
REC0062.1,Skin Check (avg risk),,,,,,
REC0063.1,Skin Check (high risk),,,,,,
REC0064.1,Vision Check,,,,,,
REC0065.1,Colonoscopy (avg risk),,,,,,
REC0066.1,Colonoscopy (high risk),,,,,,
REC0067.1,Mammogram (under 50),,,,,,
REC0068.1,Mammogram (over 50 or high risk under 50),,,,,,
