ID,Title,level_description,scoring_config,updated (VS),Overview,metrics_types_v3,units_v3 (from metrics_types_v3),Needs_work,record_id
REC0025.3,Zone 2 Cardio Sessions,"Complete at least 5 Zone 2 cardio sessions per week, any duration",,,"Zone 2 cardio—sustained, moderate-intensity aerobic activity—improves metabolic, mitochondrial, and cardiovascular health.",zone2_cardio_sessions,session,,reccgzcQs3ReCRZiN
REC0026.1,Daily Steps,"Reach at least 5,000 steps per day on at least 2 days per week",,,"Daily step count is a simple, powerful marker of physical activity and metabolic health. Increasing steps improves cardiovascular, cognitive, and overall health.",step_count,count,,rec3XE7ren4uDEyqJ
REC0026.2,Daily Steps,"Reach at least 7,500 steps per day on at least 5 days per week",,,"Daily step count is a simple, powerful marker of physical activity and metabolic health. Increasing steps improves cardiovascular, cognitive, and overall health.",step_count,count,,recMKyXERMUqHM87O
REC0026.3,Daily Steps,"Reach at least 10,000 steps per day every day of the week",,,"Daily step count is a simple, powerful marker of physical activity and metabolic health. Increasing steps improves cardiovascular, cognitive, and overall health.",step_count,count,,rec7fGIf5CE8xyzYT
REC0027.1,Strength Training Sessions,Complete at least 1 strength training session per week,,,"Strength training supports muscle, bone, and metabolic health, improves longevity, and reduces injury risk.",strength_training_sessions,session,,recLjtJEXpCzCkeae
REC0027.2,Strength Training Sessions,Complete at least 2 strength training sessions per week,,,"Strength training supports muscle, bone, and metabolic health, improves longevity, and reduces injury risk.",strength_training_sessions,session,,recYD8fyMs8TZaj9w
REC0027.3,Strength Training Sessions,Complete at least 3 strength training sessions per week,,,"Strength training supports muscle, bone, and metabolic health, improves longevity, and reduces injury risk.",strength_training_sessions,session,,reccM1F6ztegvuj41
REC0028.1,Strength Training Duration,Accumulate at least 60 minutes of strength training per week,,,The total weekly time spent on strength training is a key driver for muscle adaptation and longevity.,strength_training_time,minutes,,recM8FomYRHaUcOJC
REC0028.2,Strength Training Duration,Accumulate at least 120 minutes of strength training per week,,,The total weekly time spent on strength training is a key driver for muscle adaptation and longevity.,strength_training_time,minutes,,rec0P4s0n2NSp3UqE
REC0028.3,Strength Training Duration,Accumulate at least 180 minutes of strength training per week,,,The total weekly time spent on strength training is a key driver for muscle adaptation and longevity.,strength_training_time,minutes,,recy0MwATPDhKLOrN
REC0029.1,HIIT Sessions,Complete at least 1 HIIT session per week,,,"HIIT improves aerobic/anaerobic fitness, insulin sensitivity, and heart health with time-efficient, intense intervals.",hiit_sessions,session,,recakt2a8V8iqmERc
REC0029.2,HIIT Sessions,Complete at least 2 HIIT sessions per week,,,"HIIT improves aerobic/anaerobic fitness, insulin sensitivity, and heart health with time-efficient, intense intervals.",hiit_sessions,session,,recaBIRD7TdktJy1h
REC0029.3,HIIT Sessions,Complete at least 3 HIIT sessions per week,,,"HIIT improves aerobic/anaerobic fitness, insulin sensitivity, and heart health with time-efficient, intense intervals.",hiit_sessions,session,,rechZVptoLoPBWnwS
REC0030.1,HIIT Duration,Accumulate at least 20 minutes of HIIT per week,,,"Short, focused HIIT bursts provide substantial cardiovascular and metabolic benefits.",hiit_time,minutes,,reckEuLFlXQgQjaQr
REC0030.2,HIIT Duration,Accumulate at least 40 minutes of HIIT per week,,,"Short, focused HIIT bursts provide substantial cardiovascular and metabolic benefits.",hiit_time,minutes,,rec7xthCyBwFCl0Qq
REC0030.3,HIIT Duration,Accumulate at least 60 minutes of HIIT per week,,,"Short, focused HIIT bursts provide substantial cardiovascular and metabolic benefits.",hiit_time,minutes,,recyxKyMXE1K8gaeJ
REC0031.1,Daily Active Time,Start moving: Achieve at least 60 minutes of daily active time on 5+ days per week,,,"Building more daily movement boosts mood, metabolism, heart health, and helps maintain a healthy weight. Active time is a core pillar of physical and mental resilience.",active_time_minutes,minutes,,recne0RxZm9FEE305
REC0031.2,Daily Active Time,Increase your movement: Reach at least 90 minutes of daily active time on 5+ days per week,,,"Building more daily movement boosts mood, metabolism, heart health, and helps maintain a healthy weight. Active time is a core pillar of physical and mental resilience.",active_time_minutes,minutes,,recwgamjEzLJVzpEz
REC0031.3,Daily Active Time,Optimize: Achieve 120+ minutes of active time every day (7 days per week),,,"Building more daily movement boosts mood, metabolism, heart health, and helps maintain a healthy weight. Active time is a core pillar of physical and mental resilience.",active_time_minutes,minutes,,recpb33n6nhQXT7Xh
REC0032.1,Sedentary Time,Break up sitting: Limit sedentary time to under 8 hours daily (5+ days/week),,,"Reducing prolonged sitting lowers cardiometabolic and cognitive risk, improves posture, and supports more sustained energy throughout the day.",sedentary_time_minutes,minutes,,recQLul19pdsMEMa5
REC0032.2,Sedentary Time,Sit less: Limit sedentary time to under 7 hours daily (6+ days/week),,,"Reducing prolonged sitting lowers cardiometabolic and cognitive risk, improves posture, and supports more sustained energy throughout the day.",sedentary_time_minutes,minutes,,recPrRxp2N5ucxiKc
REC0032.3,Sedentary Time,"Stay on your feet: Consistently keep sedentary time below 6 hours per day, every day",,,"Reducing prolonged sitting lowers cardiometabolic and cognitive risk, improves posture, and supports more sustained energy throughout the day.",sedentary_time_minutes,minutes,,recDoZl3h8rr6rPAq
REC0033.1,Weekly Mobility Sessions,Get started: Complete at least 2 mobility sessions per week,,,"Regular mobility sessions improve flexibility, joint health, and recovery—helping you move better and reduce injury risk as you get stronger.",mobility_sessions,session,,rec63sNEGqWcrFhHE
REC0033.2,Weekly Mobility Sessions,Progress: Complete at least 4 mobility sessions per week,,,"Regular mobility sessions improve flexibility, joint health, and recovery—helping you move better and reduce injury risk as you get stronger.",mobility_sessions,session,,recfRDPRzCbSARqsV
REC0033.3,Weekly Mobility Sessions,Daily routine: Practice daily mobility (6+ sessions/week),,,"Regular mobility sessions improve flexibility, joint health, and recovery—helping you move better and reduce injury risk as you get stronger.",mobility_sessions,session,,rec4PQao4ZWMG3oOP
REC0034.1,Weekly Mobility Minutes,Begin: Achieve at least 20 minutes of total mobility work per week,,,"Short, frequent mobility work helps restore movement patterns, prevent stiffness, and builds a foundation for lifelong resilience.",mobility_time,minutes,,recCELntREUIFKJgO
REC0034.2,Weekly Mobility Minutes,Build: Reach 50 minutes of total mobility work per week,,,"Short, frequent mobility work helps restore movement patterns, prevent stiffness, and builds a foundation for lifelong resilience.",mobility_time,minutes,,reciearroVg1iqMvW
REC0034.3,Weekly Mobility Minutes,Maintain: Complete 90+ minutes of total mobility work per week,,,"Short, frequent mobility work helps restore movement patterns, prevent stiffness, and builds a foundation for lifelong resilience.",mobility_time,minutes,,reccLeZ2tn6hR6Vt5
REC0035.1,Weekly Post-Meal Activity Minutes,Start with 15 minutes of post-meal activity weekly,,,"Moving after meals improves blood sugar control, supports digestion, and can reduce cardiometabolic risk—especially when made a regular habit.",post_meal_activity_minutes,minutes,,rec0gnuh5AdUWHi1o
REC0035.2,Weekly Post-Meal Activity Minutes,Reach 35 minutes of post-meal activity weekly,,,"Moving after meals improves blood sugar control, supports digestion, and can reduce cardiometabolic risk—especially when made a regular habit.",post_meal_activity_minutes,minutes,,recL9Fo72uAequEkV
REC0035.3,Weekly Post-Meal Activity Minutes,Sustain 60+ minutes of post-meal activity weekly,,,"Moving after meals improves blood sugar control, supports digestion, and can reduce cardiometabolic risk—especially when made a regular habit.",post_meal_activity_minutes,minutes,,rec4HrvbLeqCbpcjv
REC0036.1,Weekly Post-Meal Activity Sessions,Move after meals at least 3 times per week,,,Frequent post-meal movement supports digestion and helps stabilize glucose—just a few sessions per week makes a difference.,post_meal_activity,session,,recvsz4BSxYrA34AW
REC0036.2,Weekly Post-Meal Activity Sessions,Move after meals at least 7 times per week,,,Frequent post-meal movement supports digestion and helps stabilize glucose—just a few sessions per week makes a difference.,post_meal_activity,session,,recX4Lh38j56eZkQ4
REC0036.3,Weekly Post-Meal Activity Sessions,Move after meals after at least 12 meals per week,,,Frequent post-meal movement supports digestion and helps stabilize glucose—just a few sessions per week makes a difference.,post_meal_activity,session,,rec0A220UQOmaAQYx
REC0037.1,Weekly Exercise Snacks,Complete at least 2 exercise snacks per day,,,"“Exercise snacks”—short bursts of movement—improve metabolic health, mood, and energy, and make movement more achievable in busy schedules.",exercise_snacks,session,,reckufkoHv5oXa23I
REC0037.2,Weekly Exercise Snacks,"Complete at least 5 exercise snacks per day, including 2 after meals",,,"“Exercise snacks”—short bursts of movement—improve metabolic health, mood, and energy, and make movement more achievable in busy schedules.","post_meal_activity,exercise_snacks","session,session",,recXhidANaW6zTqf2
REC0037.3,Weekly Exercise Snacks,"Complete at least 8 exercise snacks per day, including after every meal
",,,"“Exercise snacks”—short bursts of movement—improve metabolic health, mood, and energy, and make movement more achievable in busy schedules.","post_meal_activity,exercise_snacks","session,session",,recm1y0FhNqxNPSp0
REC0038.1,Sleep Duration,Sleep 7+ hours at least 5 nights per week,,,"Adequate sleep improves energy, focus, immunity, metabolism, and mental health—foundational for WellPath’s full-body approach.",,,,rec812hWjPTw7grYU
REC0038.2,Sleep Duration,Sleep 7+ hours all 7 nights per week,,,"Adequate sleep improves energy, focus, immunity, metabolism, and mental health—foundational for WellPath’s full-body approach.",,,,rec4KxxL6xO5VtKqX
REC0038.3,Sleep Duration,"Sleep 7–9 hours per night, every night",,,"Adequate sleep improves energy, focus, immunity, metabolism, and mental health—foundational for WellPath’s full-body approach.",,,,recOcRolQFGHhMOmt
REC0039.1,Sleep Timing Consistency,Keep your bedtime within 60 minutes on weekdays,,,"Consistent bedtimes strengthen circadian rhythm, improve rest quality, and make mornings more predictable—key for resilience.",,,,reciAe0Q3lWvSwqHb
REC0039.2,Sleep Timing Consistency,Keep weekend bedtime within 90 minutes of your weekday time,,,"Consistent bedtimes strengthen circadian rhythm, improve rest quality, and make mornings more predictable—key for resilience.",,,,recr3y3J8db5sR8PB
REC0039.3,Sleep Timing Consistency,Go to bed within 30 minutes of your usual time every day,,,"Consistent bedtimes strengthen circadian rhythm, improve rest quality, and make mornings more predictable—key for resilience.",,,,recutEyRzeDeUYgoS
REC0040.1,Wake Time Consistency,"Wake up by a set time (e.g., 8:00am) on weekends and weekdays",,,"Consistent wake times anchor the circadian clock, support better sleep quality, and improve daily energy patterns.",,,,recu7WgBqTw2mi79B
REC0040.2,Wake Time Consistency,Keep weekend wake-up within 90 minutes of your average weekday wake-up time (“social jetlag” focus),,,"Consistent wake times anchor the circadian clock, support better sleep quality, and improve daily energy patterns.",,,,recyc1j7BQCd7ciZt
REC0040.3,Wake Time Consistency,Wake within 30 minutes of your usual time every day (including weekends),,,"Consistent wake times anchor the circadian clock, support better sleep quality, and improve daily energy patterns.",,,,reconamkuavo4GJjk
REC0041.1,Daily Early Morning Natural Light Exposure,Get outside for at least 5 minutes of morning light most days,,,"Early natural light helps regulate your body clock, boost mood, and support healthy sleep.",morning_sunlight_exposure,minutes,,reclJ17PZ97GZYCPD
REC0041.2,Daily Early Morning Natural Light Exposure,Get at least 10 minutes of natural light within 2 hours of waking,,,"Early natural light helps regulate your body clock, boost mood, and support healthy sleep.",morning_sunlight_exposure,minutes,,recFZEhJfyaPHY3nR
REC0041.3,Daily Early Morning Natural Light Exposure,Achieve 20+ minutes of outdoor morning light daily,,,"Early natural light helps regulate your body clock, boost mood, and support healthy sleep.",morning_sunlight_exposure,minutes,,rec4p8jR8l2BzoPIL
REC0042.1,Large Meals ≤3 Hours Before Bed,Avoid large meals within 2 hours of bedtime at least 4 nights/week,,,"Reducing late large meals helps support digestion, sleep quality, and metabolic health.",last_large_meal_time,timestamp,,recnZ791fIXqLHm03
REC0042.2,Large Meals ≤3 Hours Before Bed,Avoid large meals within 3 hours of bedtime on most nights,,,"Reducing late large meals helps support digestion, sleep quality, and metabolic health.",last_large_meal_time,timestamp,,recqWO9TPDn91Ndv7
REC0042.3,Large Meals ≤3 Hours Before Bed,"No large meals within 3 hours of bedtime, every night",,,"Reducing late large meals helps support digestion, sleep quality, and metabolic health.",last_large_meal_time,timestamp,,rec1prwqTdXo8aZ90
REC0043.1,Food Intake ≤2 Hours Before Bed,Avoid food within 1 hour of bedtime at least 4 nights/week,,,"Avoiding all food close to bedtime supports restful sleep, digestion, and overnight recovery.",last_meal_time,timestamp,,recpBsCwff0yTQveA
REC0043.2,Food Intake ≤2 Hours Before Bed,Avoid food within 2 hours of bedtime on most nights,,,"Avoiding all food close to bedtime supports restful sleep, digestion, and overnight recovery.",last_meal_time,timestamp,,recdAabh2l7B8IPtJ
REC0043.3,Food Intake ≤2 Hours Before Bed,"No food intake within 2 hours of bedtime, every night",,,"Avoiding all food close to bedtime supports restful sleep, digestion, and overnight recovery.",last_meal_time,timestamp,,rechVDcaVZ02vC9bc
REC0044.1,Alcohol Intake ≤3-4 Hours Before Bed,No alcohol within 2 hours of bedtime on at least 4 nights/week,,,"Limiting alcohol before bed improves sleep quality, supports healthy metabolism, and reduces next-day grogginess.",last_alcohol_time,timestamp,,recXvD9KYYCePeULN
REC0044.2,Alcohol Intake ≤3-4 Hours Before Bed,No alcohol within 3 hours of bedtime on most nights,,,"Limiting alcohol before bed improves sleep quality, supports healthy metabolism, and reduces next-day grogginess.",last_alcohol_time,timestamp,,recpkzPD3eJMBPyWE
REC0044.3,Alcohol Intake ≤3-4 Hours Before Bed,"No alcohol within 4 hours of bedtime, every night",,,"Limiting alcohol before bed improves sleep quality, supports healthy metabolism, and reduces next-day grogginess.",last_alcohol_time,timestamp,,recgaTjsxwTS9pr1v
REC0045.1,Digital Device Time ≤2 Hours Before Bed,"Avoid screens within 30 minutes of bedtime, 4+ nights/week",,,"Reducing screen time before bed supports melatonin production, sleep onset, and better nightly rest.",device_cessation_time,timestamp,,recPCJnEqpgjIkqwA
REC0045.2,Digital Device Time ≤2 Hours Before Bed,No screens within 60 of bedtime on most nights,,,"Reducing screen time before bed supports melatonin production, sleep onset, and better nightly rest.",device_cessation_time,timestamp,,recNLbFGnZ2P0sJDp
REC0045.3,Digital Device Time ≤2 Hours Before Bed,"No digital device time within 75 minutes of bedtime, every night",,,"Reducing screen time before bed supports melatonin production, sleep onset, and better nightly rest.",device_cessation_time,timestamp,,recsDm4SzlIhcMkly
REC0046.1,Breathwork or Mindfulness Sessions,Incorporate 1 minute of breathwork or mindfulness breaks twice a day,,,"Breathwork and mindfulness can lower stress, support emotional health, and improve focus.",breathwork_mindfulness_sessions,session,,recuVMGDiTtrJA4W4
REC0046.2,Breathwork or Mindfulness Sessions,Incorporate 2-3 minutes of breathwork or mindfulness breaks three or more times a day,,,"Breathwork and mindfulness can lower stress, support emotional health, and improve focus.",breathwork_mindfulness_sessions,session,,recYp9DNemHWdstRl
REC0046.3,Breathwork or Mindfulness Sessions,Incorporate 2 or more breathwork sessions and 2 or more mindfulness breaks daily,,,"Breathwork and mindfulness can lower stress, support emotional health, and improve focus.",breathwork_mindfulness_sessions,session,,recq3NvaNG8U2Chja
REC0047.1,Social Interaction Events,Attend one social event per week,,,"Social events help strengthen relationships, build connection, and boost overall mental health.",social_interactions,event,,recNo4K1fGy5rpbRU
REC0047.2,Social Interaction Events,Attend two or more social events per week,,,"Social events help strengthen relationships, build connection, and boost overall mental health.",social_interactions,event,,receWmWsoiUqmc2R5
REC0047.3,Social Interaction Events,Engage in social activities 3+ times weekly,,,"Social events help strengthen relationships, build connection, and boost overall mental health.",social_interactions,event,,recxOXtGlAL55rTu7
REC0048.1,Gratitude Practice,Practice gratitude once per week,,,"Gratitude practice builds resilience, positivity, and supports emotional well-being.",gratitude_practice,count,,rec7W9yNVBVDaRwSp
REC0048.2,Gratitude Practice,Practice gratitude three times per week,,,"Gratitude practice builds resilience, positivity, and supports emotional well-being.",gratitude_practice,count,,recmU1igrfrduM8Bd
REC0048.3,Gratitude Practice,Practice gratitude daily,,,"Gratitude practice builds resilience, positivity, and supports emotional well-being.",gratitude_practice,count,,recL8aggpuMrydpQR
REC0049.1,Journaling or Reflection Sessions,Journal or reflect once per week,,,"Journaling or reflection helps process emotions, clarify goals, and reduce stress.",journaling_time,minutes,,recoYihYYsfSxSJQ1
REC0049.2,Journaling or Reflection Sessions,Journal or reflect three times per week,,,"Journaling or reflection helps process emotions, clarify goals, and reduce stress.",journaling_time,minutes,,recHKpCZQGQFtBAmW
REC0049.3,Journaling or Reflection Sessions,Journal or reflect daily,,,"Journaling or reflection helps process emotions, clarify goals, and reduce stress.",journaling_time,minutes,,recXmtFAbcU7jxTMx
REC0050.1,Outdoor Time (minutes),Spend at least 15 minutes outdoors daily,,,"Outdoor time improves mood, focus, vitamin D, and overall well-being.",outdoor_time_minutes,minutes,,rec2p7y1PTwiSayCt
REC0050.2,Outdoor Time (minutes),Spend 30 minutes outdoors daily,,,"Outdoor time improves mood, focus, vitamin D, and overall well-being.",outdoor_time_minutes,minutes,,rec3CtFQAH5vKtRD1
REC0050.3,Outdoor Time (minutes),Spend 60+ minutes outdoors daily,,,"Outdoor time improves mood, focus, vitamin D, and overall well-being.",outdoor_time_minutes,minutes,,recl3dtLS72YRB5pT
REC0051.1,Morning Outdoor Time (minutes),Get outdoors for 5 minutes within 2 hours of waking,,,"Morning outdoor time supports circadian rhythm, energy, and mood.",morning_outdoor_time,minutes,,recbiVSr9Tb4PO8BK
REC0051.2,Morning Outdoor Time (minutes),Get outdoors for 10 minutes within 2 hours of waking,,,"Morning outdoor time supports circadian rhythm, energy, and mood.",morning_outdoor_time,minutes,,rech50KAz9XwtR3k9
REC0051.3,Morning Outdoor Time (minutes),Get outdoors for 20+ minutes within 2 hours of waking,,,"Morning outdoor time supports circadian rhythm, energy, and mood.",morning_outdoor_time,minutes,,recK1hr9T47jPGDis
REC0052.1,Digital Device Time (minutes),Limit non-work screen time to less than 4 hours daily,,,"Reducing non-work screen time supports better focus, healthier sleep patterns, and improved mental well-being. Non-work screen time refers to recreational or passive use of digital devices outside of job-related responsibilities—such as watching videos, scrolling social media, playing games, or browsing aimlessly.",screen_time,minutes,,rec9oK3cXjPf9h06J
REC0052.2,Digital Device Time (minutes),Limit non-work screen time to less than 3 hours daily,,,"Reducing non-work screen time supports better focus, healthier sleep patterns, and improved mental well-being. Non-work screen time refers to recreational or passive use of digital devices outside of job-related responsibilities—such as watching videos, scrolling social media, playing games, or browsing aimlessly.",screen_time,minutes,,recDkPJwvw1efNFOw
REC0052.3,Digital Device Time (minutes),Limit non-work screen time to less than 2 hours daily,,,"Reducing non-work screen time supports better focus, healthier sleep patterns, and improved mental well-being. Non-work screen time refers to recreational or passive use of digital devices outside of job-related responsibilities—such as watching videos, scrolling social media, playing games, or browsing aimlessly.",screen_time,minutes,,recfStnRtbnERLXWg
REC0053.1,Brain Training Activity (minutes),"Engage in brain training for 10 minutes, 2x per week",,,"Brain training supports cognitive health, focus, and lifelong learning.",brain_training_time,minutes,,rec7LUpuS502Wf0uG
REC0053.2,Brain Training Activity (minutes),"Engage in brain training for 15 minutes, 3x per week",,,"Brain training supports cognitive health, focus, and lifelong learning.",brain_training_time,minutes,,recyaGGtG0W9sPOW4
REC0053.3,Brain Training Activity (minutes),"Engage in brain training for 20 minutes, 5x per week",,,"Brain training supports cognitive health, focus, and lifelong learning.",brain_training_time,minutes,,recapRJIioF9TBIAO
REC0054.1,Daily Social Interaction Time (minutes),"Social engagement such as “brief chat’ at least once a day with family, friend or neighbor ",,,"Daily social connection boosts mood, resilience, and cognitive health.",social_interactions,event,,recAfZhxRMxunTXUc
REC0054.2,Daily Social Interaction Time (minutes),"Engage in 2 or more brief social connections daily for a total of more than 15 minutes, include group connection ",,,"Daily social connection boosts mood, resilience, and cognitive health.",social_interactions,event,,recglMwKZsS1CIS9T
REC0054.3,Daily Social Interaction Time (minutes),"Engage daily in multiple social engagements totaling more than 30, including group connections and generational connections ",,,"Daily social connection boosts mood, resilience, and cognitive health.",social_interactions,event,,rec5pnYGSNnXXjyg0
REC0055.1,Daily Smoking (cigarettes),Reduce smoking by at least 50% from baseline,,,Reducing smoking immediately improves cardiovascular and lung health.,daily_smoking,cigarette,,reclBuYROVulyy4ea
REC0055.2,Daily Smoking (cigarettes),Limit to 5 or fewer cigarettes daily,,,Reducing smoking immediately improves cardiovascular and lung health.,daily_smoking,cigarette,,rec2WTJBq0Qh7pXr7
REC0055.3,Daily Smoking (cigarettes),Eliminate cigarette use,,,Reducing smoking immediately improves cardiovascular and lung health.,daily_smoking,cigarette,,recvouEkGdR39WyBa
REC0056.1,Daily Brushing (times/day),Brush your teeth at least once daily,,,"Brushing daily is foundational for oral health, reducing risk of cavities and gum disease.",daily_brushing_times,count,,recFAPom6rleVLlz0
REC0056.2,Daily Brushing (times/day),Brush twice daily,,,"Brushing daily is foundational for oral health, reducing risk of cavities and gum disease.",daily_brushing_times,count,,recBjbjPon0bjPDip
REC0056.3,Daily Brushing (times/day),Brush after every meal,,,"Brushing daily is foundational for oral health, reducing risk of cavities and gum disease.",daily_brushing_times,count,,rec20zJ8pQA3GLvgS
REC0057.1,Daily Flossing,Floss at least 3 times per week,,,"Regular flossing removes plaque and supports healthy gums, lowering long-term oral health risks.",flossing_adherence,count,,rec6pxtTl0aPACDw4
REC0057.2,Daily Flossing,Floss on at least 5 days per week,,,"Regular flossing removes plaque and supports healthy gums, lowering long-term oral health risks.",flossing_adherence,count,,recuFfEO3OqV7oopW
REC0057.3,Daily Flossing,Floss daily (preferably before bed),,,"Regular flossing removes plaque and supports healthy gums, lowering long-term oral health risks.",flossing_adherence,count,,recslE7UUxgYjXk0y
REC0058.1,Daily Skincare Routine,Follow a skincare routine 3 days/week,,,"Consistent skincare protects the skin barrier, supports appearance, and reduces long-term damage.",skincare_routine,count,,reciCnypQrQelh4Ii
REC0058.2,Daily Skincare Routine,Maintain a skincare routine 5 days/week,,,"Consistent skincare protects the skin barrier, supports appearance, and reduces long-term damage.",skincare_routine,count,,recVGeUFGgWmPOwdL
REC0058.3,Daily Skincare Routine,Complete your skincare routine daily,,,"Consistent skincare protects the skin barrier, supports appearance, and reduces long-term damage.",skincare_routine,count,,rec9ReQV085vW4emv
REC0059.1,Daily Sunscreen Use,Apply sunscreen on sunny days or when outdoors >20 min,,,"Daily sunscreen use protects against sunburn, premature aging, and reduces skin cancer risk.",daily_sunscreen_use,count,,reccpkPaDqQaBYToo
REC0059.2,Daily Sunscreen Use,Apply sunscreen every morning,,,"Daily sunscreen use protects against sunburn, premature aging, and reduces skin cancer risk.",daily_sunscreen_use,count,,recCYr59P5RtgBOpM
REC0059.3,Daily Sunscreen Use,Reapply sunscreen throughout the day when outdoors,,,"Daily sunscreen use protects against sunburn, premature aging, and reduces skin cancer risk.",daily_sunscreen_use,count,,recKXG4Fu95dHx1nx
REC0060.1,Dental Exam,Complete a dental exam,,,"Regular dental exams catch problems early, prevent disease, and support oral health.",dental_screening_date,date_month_day,,recCrPdMWWWbD96Y2
REC0061.1,Physical Exam,Complete a physical exam,,,"Annual physicals help track health, prevent disease, and catch risks early.",physical_exam_date,date_month_day,,recswGmUd8CIYhaai
REC0062.1,Skin Check (avg risk),Complete a skin check,,,Regular skin checks catch skin cancer and sun damage early for better outcomes.,skin_check_date,date_month_day,,recJeXa0KkBStz8ql
REC0063.1,Skin Check (high risk),Complete a skin check,,,Regular skin checks catch skin cancer and sun damage early for better outcomes.,,,,rec8SfiF2Ot3prI95
REC0064.1,Vision Check,Complete a vision check,,,Regular vision checks protect eyesight and detect eye disease early.,vision_check_date,date_month_day,,recprcRTzojHvqx9L
REC0065.1,Colonoscopy (avg risk),Complete a colonoscopy,,,Regular colonoscopies help prevent and detect colon cancer early.,colonoscopy_date,date_month_day,,recwPXVwXxnGTrJYO
REC0066.1,Colonoscopy (high risk),Complete a colonoscopy,,,Regular colonoscopies help prevent and detect colon cancer early.,,,,recASqRqfiUV6iJbY
REC0067.1,Mammogram (under 50),Complete a mammogram,,,Mammograms help detect breast cancer early and support long-term health.,,,,rec9jj0CGvqxixprq
REC0068.1,Mammogram (over 50 or high risk under 50),Complete a mammogram,,,Mammograms help detect breast cancer early and support long-term health.,mammogram_date,date_month_day,,recbybsJbOnUZ42Rx
REC0069.1,Breast MRI (very high risk),Complete a breast MRI,,,Breast MRIs are vital for very high-risk women to detect cancer as early as possible.,,,,recymSpWlNNr7nHLX
REC0070.1,Cervical Cancer Screening (HPV/PAP),Complete a cervical screening test,,,Regular cervical cancer screening (HPV/PAP) saves lives through early detection.,hpv_pap_date,date_month_day,,recaeUZFIN2ufDmx0
REC0071.1,PSA Test (avg risk),Complete a PSA test,,,"PSA tests help detect prostate cancer early, improving outcomes.",psa_date,date_month_day,,rec1iuXQYJL8AdWcV
REC0072.1,PSA Test (high risk),Complete a PSA test,,,"PSA tests help detect prostate cancer early, improving outcomes.",,,,recuk9cno7H5VwXo1
REC0073.1,Omega-3 (EPA/DHA) Supplement,Take 1–2g of omega-3 (EPA+DHA) daily,,,"Omega-3 fatty acids reduce inflammation, lower triglycerides, and support heart, brain, and eye health. EPA and DHA lower cardiovascular risk, support cognitive aging, and help stabilize mood.",supplement_adherence,count,,rec536ZJtkS995StZ
REC0074.1,Vitamin D3 Supplement,Take 1000–2000 IU of vitamin D3 daily,,,"Vitamin D3 supports bone, immune, mood, and metabolic health. Supplementation reduces risk of osteoporosis, infection, and deficiency symptoms.",supplement_adherence,count,,rec7cTd2xtrDYrv7X
REC0075.1,Magnesium Supplement,"Take 200–400mg of magnesium (glycinate, citrate, or malate) nightly",,,"Magnesium is essential for over 300 enzymatic reactions supporting muscle, nerve, bone, sleep, glucose, and blood pressure health. Supplementation improves sleep, recovery, migraines, and insulin sensitivity.",supplement_adherence,count,,recSJDwngdUhLfNgx
REC0076.1,Creatine Monohydrate,Take 3–5g of creatine monohydrate daily,,,"Creatine enhances muscle mass, strength, power, and may support cognitive health in aging adults. Improves cellular energy, performance, and reduces risk of sarcopenia.",supplement_adherence,count,,recUD4K6H4Re2UYEg
REC0077.1,Protein Powder Supplement,Take 20–40g of protein powder daily to meet needs,,,"Protein supports muscle maintenance, healthy aging, satiety, metabolic function, and recovery. Supplementing helps reach targets, especially for older adults or those with low intake.",supplement_adherence,count,,reci93O5tDSr2GCwl
REC0078.1,Coenzyme Q10 (CoQ10) Supplement,Take 100–200mg of CoQ10 daily,,,"CoQ10 is a key antioxidant supporting mitochondrial energy, heart, and brain health. Reduces statin-induced muscle pain, may lower BP and improve outcomes in heart failure.",supplement_adherence,count,,recMeJAwWGgYoY66f
REC0079.1,Fiber Supplement,Take 5–10g of fiber (psyllium or inulin) daily,,,"Fiber supports gut health, cholesterol, blood sugar control, regularity, and satiety. Higher fiber is linked to lower risk of heart disease, colon cancer, and metabolic syndrome.",supplement_adherence,count,,recdRI2zXf8UhI59B
REC0080.1,Multivitamin,Take a daily multivitamin,,,"Multivitamins help fill micronutrient gaps, support immune, brain, and metabolic health, and reduce deficiency risk—especially with restricted diets.",supplement_adherence,count,,recneyqFHrT4BrdaM
REC0081.1,Iron Supplement,Take iron (18–27mg daily),,,"Iron is essential for oxygen transport, brain function, and energy. Supplementation corrects anemia and supports immune and cognitive health.",supplement_adherence,count,,rec5VjHAbWfrcOZco
REC0082.1,Vitamin B12 & Folate,Take 500–1000mcg B12 plus 400–800mcg folate daily,,,"B12 and folate are critical for red blood cells, brain, DNA repair, and heart protection (by lowering homocysteine). Deficiency is common in older adults and vegans.",supplement_adherence,count,,recuqtWBdvkIGp8I8
REC0083.1,Probiotic Supplement,Take a probiotic with 10–20 billion CFU daily,,,"Probiotics support gut microbiome diversity, digestion, immune function, and recovery after antibiotics. Clinical evidence supports use for IBS, IBD, and post-antibiotic recovery.",supplement_adherence,count,,recMjWqqWR8m1qJxE
REC0084.1,Melatonin Supplement,Take 1–5mg melatonin 30–60min before bed,,,"Melatonin regulates circadian rhythm and sleep quality. Supplementation supports sleep onset for shift workers, jet lag, or mild insomnia, with additional antioxidant properties.",supplement_adherence,count,,recQV3w2t1uJrP2rm
