identifier,name,description,calculation_formula,calculation_type,unit_identifier,healthkit_data_type,healthkit_equivalent,source_metric(s),source(s)_calculated_metric,From field: source_calculated_metric,target_value,record_id
sleep_duration,Sleep Duration,"Total sleep time calculated from sleep onset to wake time, excluding wake periods",abs(wake_time - sleep_time),abs(difference),hours_minutes,wellpath,,"wake_time, sleep_time",,,,recIDeGzWueGUUdhc
sleep_time_consistency,Sleep Time Consistency,Standard deviation of sleep times over analysis period. Lower values indicate better sleep schedule consistency.,STDEV(sleep_time) WHERE date >= analysis_start AND date <= analysis_end,std_dev,minutes,wellpath,,sleep_time,,,,rec9UyPB9IH6JVY1S
wake_time_consistency,Wake Time Consistency,Standard deviation of wake times over analysis period. Lower values indicate better wake schedule consistency.,STDEV(wake_times) WHERE date >= analysis_start AND date <= analysis_end,std_dev,minutes,wellpath,,wake_time,,,,recgfnn0lmJuo32eW
daily_saturated_fat,Daily Saturated Fat (g),Total saturated fat consumed in grams per day,SUM(saturated_fat_consumed) WHERE date = target_date,sum,gram,quantity,HKQuantityTypeIdentifierDietaryFatSaturated,saturated_fat_consumed,,saturated_fat_percentage,,rec7K3BZOSteS0STt
saturated_fat_percentage,Saturated Fat Percentage,Calculates the percentage of daily calories that come from saturated fat. Used to monitor compliance with dietary guidelines recommending <10% of calories from saturated fat.,(daily_saturated_fat * 9) / daily_calories * 100 WHERE date = target_date,custom_calc,percent,wellpath,,,"daily_saturated_fat, daily_calories",,,recOgMyuq9svPrOWv
first_meal_time,First Meal Time,Time of the first meal consumed on a given day,MIN(meal_logged) WHERE date = target_date,min,timestamp,wellpath,,meal_logged,,"eating_window_duration, first_meal_delay",,recxYTpaPnpi3YurX
last_meal_time,Last Meal Time,Time of the last meal consumed on a given day,MAX(meal_logged) WHERE date = target_date,max,timestamp,wellpath,,meal_logged,,"eating_window_duration, last_meal_buffer",,recLdjNNDgqCo8nvF
first_meal_delay,First Meal Delay,Time elapsed between waking up and consuming the first meal of the day. Important for intermittent fasting protocols and circadian rhythm alignment.,first_meal_time - wake_time WHERE date = target_date,min,hours,wellpath,,wake_time,first_meal_time,,,recuYoFcLSUuqXnvi
last_meal_buffer,Last Meal Buffer,"Time elapsed between the last meal of the day and sleep onset. Important for digestive health, sleep quality, and metabolic optimization.",sleep_time - last_meal_time WHERE date = target_date,difference,hours,wellpath,,sleep_time,last_meal_time,,,recNyjVFxPUtmKTSf
activity_sessions,Daily Activity Sessions,"Number of distinct activity sessions per day, detected as transitions from sedentary to active and back to sedentary in continuous activity monitoring data",COUNT(activity_transitions) WHERE transition_type = 'sedentary_to_active_to_sedentary' AND date = target_date,count,session,wellpath,,active_time,,daily_post_meal_activity_sessions,,recLBl1dddNWZH9rS
post_meal_activity_session,Post Meal Activity Session,Individual instance of post-meal activity derived from correlation of meal timing and activity sessions,IF (activity_session.start_time BETWEEN meal_logged.timestamp AND meal_logged.timestamp + 30 minutes) THEN CREATE post_meal_activity_session,count,session,wellpath,,strength_session,,post_meal_activity_duration,1,rec6pxIMWMet3Y8Oo
daily_post_meal_activity_sessions,Daily Post Meal Activity Sessions,Number of physical activity sessions performed after meals per day,COUNT(post_meal_activity_session) WHERE date = target_date,count,session,wellpath,,meal_logged,activity_sessions,,,recV15gLGNvPjCjXz
post_meal_activity_duration,Post Meal Activity Duration,"Total time spent in physical activity after meals, calculated by summing all post-meal activity sessions",post_meal_activity_session_end_time - post_meal_activity_session_start_time ,sum,minutes,wellpath,,"meal_logged, active_time",post_meal_activity_session,daily_post_meal_activity_duration,,rec0023SpErq3vuHH
daily_post_meal_activity_duration,Daily Post Meal Activity Duration,Total time spent in physical activity after meals per day,SUM(post_meal_activity_duration) WHERE date = target_date,sum,minutes,wellpath,,,post_meal_activity_duration,,,recorhKdkLw48IZuk
daily_post_meal_exercise_snacks,Daily Post Meal Exercise Snacks,Number of short exercise sessions performed after meals per day,COUNT(exercise_snack_sessions) WHERE timing = 'post_meal' AND date = target_date,count,snack,wellpath,,"meal_logged, exercise_snack",,,,recrpRrUoyFfARNMm
last_alcoholic_drink_time,Last Alcoholic Drink Time,Time of the last alcoholic beverage consumed on a given day,MAX(alcoholic_drink_times) WHERE date = target_date,max,timestamp,wellpath,,alcoholic_drink,,last_alcoholic_drink_buffer,,recxn1733dm1R50gf
last_alcoholic_drink_buffer,Last Drink Buffer,Time buffer between last alcoholic drink and sleep onset. Important for sleep quality and metabolism as alcohol affects sleep architecture and liver processing.,sleep_time - last_alcoholic_drink_time WHERE date = target_date,difference,hours,wellpath,,sleep_time,last_alcoholic_drink_time,,,rec8TVXTnyeYPcukh
last_screen_time,Last Digital Device Time Usage,Time of last digital device usage before sleep,MAX(screen_time_session.end_time) WHERE date = target_date,max,timestamp,wellpath,,screen_time_session,,screen_time_buffer,,rec8dtmC937ACy6fU
screen_time_buffer,Digital Shutoff Buffer,Time buffer between last digital device usage and sleep onset. Important for sleep hygiene and circadian rhythm health.,sleep_time - last_screen_time WHERE date = target_date,difference,hours,wellpath,,sleep_time,last_screen_time,,,recnKn6LYQ4EU4s3k
daily_wearable_usage,Daily Wearable Usage,Binary indicator of whether the wearable device was worn and provided data for the day,"IF(COUNT(wearable_data_points) > 0, 1, 0) WHERE date = target_date",count,boolean,wellpath,,,,,,recPbh0QyugbqiK4A
last_caffeine_consumption_time,Last Caffeine Consumption Time,"Time of the last caffeinated drink, supplement, or food of the day.",MAX(caffeine_consumed) WHERE date = target_date,max,timestamp,wellpath,,caffeine_consumed,,last_caffeine_consumption_buffer,,recOb7Wmk2eWh8YNl
last_caffeine_consumption_buffer,Last Caffeine Consumption Buffer,"Time buffer between last caffeinated drink, supplement or food and sleep onset. ",sleep_time - last_caffeine_consumption_time WHERE date = target_date,difference,hours,wellpath,,sleep_time,last_caffeine_consumption_time,,,recKUsJsFjKfnr6bK
